STATE,RATE,DEATHS,URL
AL,15.7,736,/nchs/pressroom/states/alabama/alabama.htm
AK,16,122,/nchs/pressroom/states/alaska/alaska.htm
AZ,19,"1,274",/nchs/pressroom/states/arizona/arizona.htm
AR,13.8,392,/nchs/pressroom/states/arkansas/arkansas.htm
CA,11.3,"4,659",/nchs/pressroom/states/california/california.htm
CO,15.4,869,/nchs/pressroom/states/colorado/colorado.htm
CT,22.1,800,/nchs/pressroom/states/connecticut/connecticut.htm
DE,22,198,/nchs/pressroom/states/delaware/delaware.htm
FL,16.2,"3,228",/nchs/pressroom/states/florida/florida.htm
GA,12.7,"1,302",/nchs/pressroom/states/georgia/georgia.htm
HI,11.3,169,/nchs/pressroom/states/hawaii/hawaii.htm
ID,14.2,218,/nchs/pressroom/states/idaho/idaho.htm
IL,14.1,"1,835",/nchs/pressroom/states/illinois/illinois.htm
IN,19.5,"1,245",/nchs/pressroom/states/indiana/indiana.htm
IA,10.3,309,/nchs/pressroom/states/iowa/iowa.htm
KS,11.8,329,/nchs/pressroom/states/kansas/kansas.htm
KY,29.9,"1,273",/nchs/pressroom/states/kentucky/kentucky.htm
LA,19,861,/nchs/pressroom/states/louisiana/louisiana.htm
ME,21.2,269,/nchs/pressroom/states/maine/maine.htm
MD,20.9,"1,285",/nchs/pressroom/states/maryland/maryland.htm
MA,25.7,"1,724",/nchs/pressroom/states/massachusetts/massachusetts.htm
MI,20.4,"1,980",/nchs/pressroom/states/michigan/michigan.htm
MN,10.6,581,/nchs/pressroom/states/minnesota/minnesota.htm
MS,12.3,351,/nchs/pressroom/states/mississippi/mississippi.htm
MO,17.9,"1,066",/nchs/pressroom/states/missouri/missouri.htm
MT,13.8,138,/nchs/pressroom/states/montana/montana.htm
NE,6.9,126,/nchs/pressroom/states/nebraska/nebraska.htm
NV,20.4,619,/nchs/pressroom/states/nevada/nevada.htm
NH,34.3,422,/nchs/pressroom/states/newhampshire/newhampshire.htm
NJ,16.3,"1,454",/nchs/pressroom/states/newjersey/newjersey.htm
NM,25.3,501,/nchs/pressroom/states/newmexico/newmexico.htm
NY,13.6,"2,754",/nchs/pressroom/states/newyork/newyork.htm
NC,15.8,"1,567",/nchs/pressroom/states/northcarolina/northcarolina.htm
ND,8.6,61,/nchs/pressroom/states/northdakota/northdakota.htm
OH,29.9,"3,310",/nchs/pressroom/states/ohio/ohio.htm
OK,19,725,/nchs/pressroom/states/oklahoma/oklahoma.htm
OR,12,505,/nchs/pressroom/states/oregon/oregon.htm
PA,26.3,"3,264",/nchs/pressroom/states/pennsylvania/pennsylvania.htm
RI,28.2,310,/nchs/pressroom/states/rhodeisland/rhodeisland.htm
SC,15.7,761,/nchs/pressroom/states/southcarolina/southcarolina.htm
SD,8.4,65,/nchs/pressroom/states/southdakota/southdakota.htm
TN,22.2,"1,457",/nchs/pressroom/states/tenessee/tennessee.htm
TX,9.4,"2,588",/nchs/pressroom/states/texas/texas.htm
UT,23.4,646,/nchs/pressroom/states/utah/utah.htm
VT,16.7,99,/nchs/pressroom/states/vermont/vermont.htm
VA,12.4,"1,039",/nchs/pressroom/states/virginia/virginia.htm
WA,14.7,"1,094",/nchs/pressroom/states/washington/washington.htm
WV,41.5,725,/nchs/pressroom/states/westvirginia/westvirginia.htm
WI,15.5,878,/nchs/pressroom/states/wisconsin/wisconsin.htm
WY,16.4,96,/nchs/pressroom/states/wyoming/wyoming.htm
